year,month,day,max_temp_faren,lowest_visibility_miles,max_wind_mph,precipitation_inches
2014,1,1,95,6,23,0
2014,1,2,94,12,23,0
2014,1,3,93,6,21,0
2014,1,4,93,6,23,0
2014,1,5,90,6,21,0
2014,1,6,90,6,14,0
2014,1,7,90,6,13,0
2014,1,8,88,6,9,0
2014,1,9,86,2,8,0.08
2014,1,10,89,1,12,0.16
2014,1,11,91,6,20,0
2014,1,12,91,6,18,0.02
2014,1,13,91,6,17,0
2014,1,14,90,6,21,0
2014,1,15,93,6,24,0
2014,1,16,94,6,21,0
2014,1,17,94,6,21,0
2014,1,18,88,1,14,1.14
2014,1,19,87,6,17,0.01
2014,1,20,90,6,17,0
2014,1,21,86,6,17,0
2014,1,22,92,6,20,0
2014,1,23,93,6,21,0
2014,1,24,91,6,21,0
2014,1,25,94,6,23,0
2014,1,26,92,6,24,0
2014,1,27,92,6,16,0
2014,1,28,92,6,16,0
2014,1,29,92,6,12,0
2014,1,30,91,6,13,0
2014,1,31,92,6,12,0
2014,2,1,93,6,12,0
2014,2,2,95,6,14,0
2014,2,3,95,6,16,0
2014,2,4,93,6,13,0
2014,2,5,93,6,13,0.01
2014,2,6,92,6,14,0
2014,2,7,93,3,15,0
2014,2,8,93,6,18,0
2014,2,9,93,6,17,0
2014,2,10,93,6,16,0
2014,2,11,93,6,16,0
2014,2,12,93,6,18,0
2014,2,13,93,6,23,0
2014,2,14,95,6,23,0
2014,2,15,95,6,23,0
2014,2,16,93,6,17,0
2014,2,17,89,3,12,0.51
2014,2,18,83,3,12,0.39
2014,2,19,86,3,13,0
2014,2,20,90,6,14,0
2014,2,21,91,6,20,0
2014,2,22,92,6,14,0.01
2014,2,23,90,3,16,0.08
2014,2,24,91,5,15,0
2014,2,25,92,6,15,0.08
2014,2,26,91,6,18,0
2014,2,27,93,6,21,0
2014,2,28,95,6,23,0
2014,3,1,92,6,26,0
2014,3,2,93,6,20,0
2014,3,3,91,1,14,0.08
2014,3,4,87,5,12,0
2014,3,5,92,6,13,0
2014,3,6,92,6,18,0
2014,3,7,93,6,18,0
2014,3,8,93,6,20,0
2014,3,9,92,6,18,0
2014,3,10,93,6,20,0
2014,3,11,92,6,18,0
2014,3,12,92,6,14,0
2014,3,13,91,4,12,0
2014,3,14,90,4,9,0.01
2014,3,15,93,6,16,0
2014,3,16,92,6,16,0
2014,3,17,92,6,20,0
2014,3,18,90,6,20,0
2014,3,19,92,6,23,0
2014,3,20,96,6,22,0
2014,3,21,96,6,22,0
2014,3,22,95,4,21,0.12
2014,3,23,79,1,15,0.59
2014,3,24,85,1,21,0
2014,3,25,87,6,16,0.08
2014,3,26,86,3,12,0
2014,3,27,90,6,14,0.01
2014,3,28,86,1,14,1.34
2014,3,29,85,4,14,0.02
2014,3,30,90,6,14,0.02
2014,3,31,91,6,14,0
2014,4,1,91,6,14,0
2014,4,2,91,6,15,0
2014,4,3,91,2,13,1.3
2014,4,4,84,3,16,0.67
2014,4,5,84,2,18,0
2014,4,6,84,6,16,0
2014,4,7,86,6,13,0
2014,4,8,88,6,9,0
2014,4,9,88,6,16,0
2014,4,10,88,6,17,0
2014,4,11,86,6,14,0
2014,4,12,85,6,17,0
2014,4,13,87,6,17,0
2014,4,14,88,6,17,0
2014,4,15,82,5,16,0
2014,4,16,83,6,16,0
2014,4,17,85,6,18,0
2014,4,18,84,6,14,0
2014,4,19,89,6,10,0
2014,4,20,91,6,16,0
2014,4,21,84,6,18,0
2014,4,22,87,5,12,0
2014,4,23,92,6,17,0
2014,4,24,82,1,15,2.01
2014,4,25,81,5,22,0
2014,4,26,81,6,17,0
2014,4,27,81,6,21,0
2014,4,28,81,4,23,0
2014,4,29,80,6,17,0.08
2014,4,30,78,3,7,0
2014,5,1,83,5,13,0
2014,5,2,86,6,9,0
2014,5,3,81,6,13,0.02
2014,5,4,83,6,9,0
2014,5,5,86,6,13,0
2014,5,6,86,6,15,0
2014,5,7,87,6,15,0
2014,5,8,87,12,15,0
2014,5,9,90,6,15,0.04
2014,5,10,81,6,16,0
2014,5,11,75,4,18,0
2014,5,12,79,6,14,0
2014,5,13,80,6,12,0
2014,5,14,80,3,12,0
2014,5,15,82,6,14,0
2014,5,16,82,6,14,0
2014,5,17,82,6,16,0
2014,5,18,81,6,7,0
